weather_hour,temperature_c,wind_speed_kmh,visibility_km,precipitation_mm,is_precipitation,is_low_visibility,is_windy,is_cold
2023-01-04 18:00:00,18.3,61.2,,0.0,False,False,True,False
2023-01-04 19:00:00,18.3,359.64,,0.0,False,False,True,False
2023-01-04 20:00:00,17.2,57.6,,0.0,False,False,True,False
2023-01-04 21:00:00,15.6,359.64,9.66,0.3,True,False,True,False
2023-01-04 22:00:00,14.4,21.6,,0.0,False,False,False,False
2023-01-04 23:00:00,13.9,359.64,,0.3,True,False,True,False
2023-01-05 00:00:00,13.3,28.8,,0.3,True,False,True,False
2023-01-05 01:00:00,12.2,21.6,9.66,0.0,False,False,False,False
2023-01-05 02:00:00,11.5,133.08,7.51,0.3,True,False,True,False
2023-01-05 03:00:00,10.0,14.4,6.44,0.0,False,False,False,False
2023-01-05 04:00:00,9.45,85.61,3.52,0.5,True,True,True,False
2023-01-05 05:00:00,8.9,21.6,5.63,0.3,True,False,False,False
2023-01-05 06:00:00,8.9,12.6,8.05,0.3,True,False,False,False
2023-01-05 07:00:00,8.9,187.02,6.44,0.0,False,False,True,False
2023-01-05 08:00:00,8.9,359.64,,0.3,True,False,True,False
2023-01-05 09:00:00,9.4,359.64,,0.0,False,False,True,False
2023-01-05 10:00:00,9.1,16.8,2.68,0.0,False,True,False,False
2023-01-05 11:00:00,9.4,23.4,1.21,1.1,True,True,False,False
2023-01-05 12:00:00,9.15,28.8,2.01,0.0,False,True,True,False
2023-01-05 13:00:00,9.4,22.8,4.56,0.0,False,True,False,False
2023-01-05 14:00:00,8.9,21.6,,0.0,False,False,False,False
2023-01-05 15:00:00,9.4,359.64,,0.0,False,False,True,False
2023-01-05 16:00:00,9.4,359.64,,0.0,False,False,True,False
2023-01-05 17:00:00,8.9,359.64,,0.0,False,False,True,False
2023-01-05 18:00:00,10.0,18.0,,0.0,False,False,False,False
2023-01-05 19:00:00,9.4,14.4,,0.0,False,False,False,False
2023-01-05 20:00:00,8.9,14.4,,0.0,False,False,False,False
2023-01-05 21:00:00,8.3,36.0,,0.0,False,False,True,False
2023-01-05 22:00:00,8.3,18.0,,0.0,False,False,False,False
2023-01-05 23:00:00,8.3,14.4,,0.0,False,False,False,False
2023-01-06 00:00:00,8.3,32.4,,0.0,False,False,True,False
2023-01-06 01:00:00,8.3,18.0,,0.0,False,False,False,False
2023-01-06 02:00:00,7.8,21.6,4.83,0.0,False,True,False,False
2023-01-06 03:00:00,7.2,190.62,4.83,0.0,False,True,True,False
2023-01-06 04:00:00,7.08,156.82,5.1,0.3,True,False,True,False
2023-01-06 05:00:00,7.2,359.64,,0.0,False,False,True,False
2023-01-06 06:00:00,7.2,14.4,6.44,0.8,True,False,False,False
2023-01-06 07:00:00,6.7,154.71,3.32,12.1,True,True,True,False
2023-01-06 08:00:00,6.2,100.71,8.45,10.1,True,False,True,False
2023-01-06 09:00:00,6.1,14.4,9.66,0.0,False,False,False,False
2023-01-06 10:00:00,5.6,25.2,,0.0,False,False,True,False
2023-01-06 11:00:00,6.1,359.64,,13.2,True,False,True,False
2023-01-06 12:00:00,6.85,359.64,,0.0,False,False,True,False
2023-01-06 13:00:00,6.7,18.0,9.66,0.0,False,False,False,False
2023-01-06 14:00:00,6.78,184.32,8.05,0.0,False,False,True,False
2023-01-06 15:00:00,6.95,233.82,7.24,0.5,True,False,True,False
2023-01-06 16:00:00,7.2,359.64,8.05,0.0,False,False,True,False
2023-01-06 17:00:00,8.3,226.62,,0.3,True,False,True,False
2023-01-06 18:00:00,8.93,291.33,,0.0,False,False,True,False
2023-01-06 19:00:00,8.3,79.2,,0.0,False,False,True,False
2023-01-06 20:00:00,8.9,100.8,,0.0,False,False,True,False
2023-01-06 21:00:00,7.8,359.64,,0.0,False,False,True,False
2023-01-06 22:00:00,7.8,359.64,,0.0,False,False,True,False
2023-01-06 23:00:00,7.2,359.64,,0.0,False,False,True,False
2023-01-07 00:00:00,6.1,104.4,,0.0,False,False,True,False
2023-01-07 01:00:00,5.6,104.4,,0.0,False,False,True,False
2023-01-07 02:00:00,5.6,100.8,,0.0,False,False,True,False
2023-01-07 03:00:00,4.4,97.2,,0.0,False,False,True,False
2023-01-07 04:00:00,3.9,232.02,,6.9,True,False,True,False
2023-01-07 05:00:00,3.9,97.2,,0.0,False,False,True,False
2023-01-07 06:00:00,3.3,100.8,,0.0,False,False,True,False
2023-01-07 07:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-07 08:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-07 09:00:00,2.8,100.8,,0.0,False,False,True,False
2023-01-07 10:00:00,2.8,97.2,,0.0,False,False,True,False
2023-01-07 11:00:00,3.3,359.64,,0.3,True,False,True,False
2023-01-07 12:00:00,3.3,97.2,,0.0,False,False,True,False
2023-01-07 13:00:00,3.9,100.8,,0.0,False,False,True,False
2023-01-07 14:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-07 15:00:00,5.6,359.64,,0.0,False,False,True,False
2023-01-07 16:00:00,6.7,104.4,,0.0,False,False,True,False
2023-01-07 17:00:00,6.7,104.4,,0.0,False,False,True,False
2023-01-07 18:00:00,6.7,100.8,,0.0,False,False,True,False
2023-01-07 19:00:00,6.7,104.4,,0.0,False,False,True,False
2023-01-07 20:00:00,6.7,104.4,,0.0,False,False,True,False
2023-01-07 21:00:00,6.1,100.8,,0.0,False,False,True,False
2023-01-07 22:00:00,5.6,100.8,,0.0,False,False,True,False
2023-01-07 23:00:00,5.6,97.2,,0.0,False,False,True,False
2023-01-08 00:00:00,5.0,97.2,,0.0,False,False,True,False
2023-01-08 01:00:00,5.0,100.8,,0.0,False,False,True,False
2023-01-08 02:00:00,4.4,97.2,,0.0,False,False,True,False
2023-01-08 03:00:00,4.4,104.4,,0.0,False,False,True,False
2023-01-08 04:00:00,3.9,235.62,,0.0,False,False,True,False
2023-01-08 05:00:00,3.3,93.6,,0.0,False,False,True,False
2023-01-08 06:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-08 07:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-08 08:00:00,2.2,104.4,,0.0,False,False,True,False
2023-01-08 09:00:00,1.7,108.0,,0.0,False,False,True,False
2023-01-08 10:00:00,1.7,104.4,,0.0,False,False,True,False
2023-01-08 11:00:00,1.1,359.64,,0.0,False,False,True,False
2023-01-08 12:00:00,0.6,359.64,,0.0,False,False,True,False
2023-01-08 13:00:00,1.1,359.64,,0.0,False,False,True,False
2023-01-08 14:00:00,1.7,18.0,,0.0,False,False,False,False
2023-01-08 15:00:00,2.2,359.64,,0.0,False,False,True,False
2023-01-08 16:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-08 17:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-08 18:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-08 19:00:00,5.0,359.64,,0.0,False,False,True,False
2023-01-08 20:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-08 21:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-08 22:00:00,3.3,64.8,,0.0,False,False,True,False
2023-01-08 23:00:00,3.3,57.6,,0.0,False,False,True,False
2023-01-09 00:00:00,3.3,57.6,,0.0,False,False,True,False
2023-01-09 01:00:00,3.3,79.2,,0.0,False,False,True,False
2023-01-09 02:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-09 03:00:00,3.3,359.64,,0.0,False,False,True,False
